feature,mean_abs_SHAP_eV,mean_SHAP_eV,corr_feature_SHAP,importance_rank,pct_abs_SHAP
PbBr2,0.0742874092659998,-0.006380228167308972,0.9517850237218739,1,21.395467039582936
BR_PRIMARY_ORGANIC_HALIDE,0.05921215611870913,0.004123617045735213,0.9605840114347016,2,17.05365346695847
FAI_TO_Pb,0.031002655367528942,0.0028967501558361873,-0.9784597512216944,3,8.929054029605311
FABr_TO_Pb,0.02761469917933058,-0.005694143269089364,-0.9125062472492416,4,7.953291034605764
CsI_TO_Pb,0.027189652141779614,0.0034709593216905414,-0.8728681660869884,5,7.830873521704876
PbCl2,0.026697024068137905,0.006051188460951468,0.9687004555309126,6,7.688992039815611
Pri_VSA_EState4,0.023551088787521768,0.0031653985010449046,-0.7918007805325232,7,6.7829333244810615
CsBr_TO_Pb,0.022670269735081156,0.00033081808409604694,-0.32504724118610406,8,6.529249218512984
SOLVENT_DMF,0.016995960187223557,-0.003747304798109343,-0.26098296887090183,9,4.894995122117366
SPACER_TO_PB_RATIO,0.012784704502645922,0.001081823473445266,0.13940451033559156,10,3.682114190006637
Sec_HallKierAlpha,0.011328263100469783,0.0010505057790778215,-0.3399607182242963,11,3.2626454762200927
CL_PRIMARY_ORGANIC_HALIDE,0.007862526323900797,-0.0006762972416601885,0.9698258326443172,12,2.2644809460042037
Sec_PEOE_VSA6,0.00601456412805122,-0.001046034567608957,-0.5044295461681761,13,1.7322505903846968
